"year","jurisdiction","title1","avg.scale.score","accommodations.permitted"
2017,"Georgia","No",237.009248722611,"yes"
2019,"Georgia","Yes, for school purp",208.594009200101,"yes"
2019,"Georgia","Yes, for students",218.405901407439,"yes"
2019,"Georgia","No",235.456072912679,"yes"
1992,"Hawaii","Yes, for school purp",NA,"no"
1992,"Hawaii","Yes, for students",NA,"no"
1992,"Hawaii","No",NA,"no"
1994,"Hawaii","Yes, for school purp",NA,"no"
1994,"Hawaii","Yes, for students",NA,"no"
1994,"Hawaii","No",NA,"no"
1998,"Hawaii","Yes, for school purp",NA,"yes"
1998,"Hawaii","Yes, for school purp",NA,"no"
1998,"Hawaii","Yes, for students",NA,"yes"
1998,"Hawaii","Yes, for students",NA,"no"
1998,"Hawaii","No",NA,"yes"
1998,"Hawaii","No",NA,"no"
2000,"Hawaii","Yes, for school purp",NA,"yes"
2000,"Hawaii","Yes, for school purp",NA,"no"
2000,"Hawaii","Yes, for students",NA,"yes"
2000,"Hawaii","Yes, for students",NA,"no"
2000,"Hawaii","No",NA,"yes"
2000,"Hawaii","No",NA,"no"
2002,"Hawaii","Yes, for school purp",NA,"yes"
2002,"Hawaii","Yes, for students",NA,"yes"
2002,"Hawaii","No",NA,"yes"
2003,"Hawaii","Yes, for school purp",NA,"yes"
2003,"Hawaii","Yes, for students",NA,"yes"
2003,"Hawaii","No",NA,"yes"
2005,"Hawaii","Yes, for school purp",202.672311796182,"yes"
2005,"Hawaii","Yes, for students",209.049324639711,"yes"
2005,"Hawaii","No",221.833218219029,"yes"
2007,"Hawaii","Yes, for school purp",207.688114550947,"yes"
2007,"Hawaii","Yes, for students",212.970660047122,"yes"
2007,"Hawaii","No",222.857836097792,"yes"
2009,"Hawaii","Yes, for school purp",204.057160021607,"yes"
2009,"Hawaii","Yes, for students",207.846184879211,"yes"
2009,"Hawaii","No",220.861789982239,"yes"
2011,"Hawaii","Yes, for school purp",206.732060607286,"yes"
2011,"Hawaii","Yes, for students",217.316978574953,"yes"
2011,"Hawaii","No",225.501091701432,"yes"
2013,"Hawaii","Yes, for school purp",206.445146233271,"yes"
2013,"Hawaii","Yes, for students",214.25010216635,"yes"
2013,"Hawaii","No",233.245028694151,"yes"
2015,"Hawaii","Yes, for school purp",207.00653946576,"yes"
2015,"Hawaii","Yes, for students",NA,"yes"
2015,"Hawaii","No",231.723231328141,"yes"
2017,"Hawaii","Yes, for school purp",208.674743755096,"yes"
2017,"Hawaii","Yes, for students",215.383988757027,"yes"
2017,"Hawaii","No",228.505715051769,"yes"
2019,"Hawaii","Yes, for school purp",209.689157968426,"yes"
2019,"Hawaii","Yes, for students",211.465747432248,"yes"
2019,"Hawaii","No",228.821055318161,"yes"
1992,"Idaho","Yes, for school purp",NA,"no"
1992,"Idaho","Yes, for students",NA,"no"
1992,"Idaho","No",NA,"no"
1994,"Idaho","Yes, for school purp",NA,"no"
1994,"Idaho","Yes, for students",NA,"no"
1994,"Idaho","No",NA,"no"
1998,"Idaho","Yes, for school purp",NA,"yes"
1998,"Idaho","Yes, for school purp",NA,"no"
1998,"Idaho","Yes, for students",NA,"yes"
1998,"Idaho","Yes, for students",NA,"no"
1998,"Idaho","No",NA,"yes"
1998,"Idaho","No",NA,"no"
2000,"Idaho","Yes, for school purp",NA,"yes"
2000,"Idaho","Yes, for school purp",NA,"no"
2000,"Idaho","Yes, for students",NA,"yes"
2000,"Idaho","Yes, for students",NA,"no"
2000,"Idaho","No",NA,"yes"
2000,"Idaho","No",NA,"no"
2002,"Idaho","Yes, for school purp",NA,"yes"
2002,"Idaho","Yes, for students",NA,"yes"
2002,"Idaho","No",NA,"yes"
2003,"Idaho","Yes, for school purp",NA,"yes"
2003,"Idaho","Yes, for students",NA,"yes"
2003,"Idaho","No",NA,"yes"
2005,"Idaho","Yes, for school purp",214.011420827208,"yes"
2005,"Idaho","Yes, for students",220.193782457755,"yes"
2005,"Idaho","No",230.927963756486,"yes"
2007,"Idaho","Yes, for school purp",216.334992373718,"yes"
2007,"Idaho","Yes, for students",221.895261740583,"yes"
2007,"Idaho","No",233.145786750997,"yes"
2009,"Idaho","Yes, for school purp",216.189561695481,"yes"
2009,"Idaho","Yes, for students",220.728121271949,"yes"
2009,"Idaho","No",228.736223170823,"yes"
2011,"Idaho","Yes, for school purp",216.113399741714,"yes"
2011,"Idaho","Yes, for students",222.119296755016,"yes"
2011,"Idaho","No",231.928704958957,"yes"
2013,"Idaho","Yes, for school purp",215.03155476968,"yes"
2013,"Idaho","Yes, for students",223.23657080128,"yes"
2013,"Idaho","No",231.362878785277,"yes"
2015,"Idaho","Yes, for school purp",217.011552156196,"yes"
2015,"Idaho","Yes, for students",225.92315743309,"yes"
2015,"Idaho","No",232.633395890437,"yes"
2017,"Idaho","Yes, for school purp",218.259613153001,"yes"
2017,"Idaho","Yes, for students",220.52380414223,"yes"
2017,"Idaho","No",232.867262130315,"yes"
2019,"Idaho","Yes, for school purp",217.055558691526,"yes"
2019,"Idaho","Yes, for students",223.387668259436,"yes"
2019,"Idaho","No",235.694275601557,"yes"
1992,"Illinois","Yes, for school purp",NA,"no"
1992,"Illinois","Yes, for students",NA,"no"
1992,"Illinois","No",NA,"no"
1994,"Illinois","Yes, for school purp",NA,"no"
1994,"Illinois","Yes, for students",NA,"no"
1994,"Illinois","No",NA,"no"
1998,"Illinois","Yes, for school purp",NA,"yes"
1998,"Illinois","Yes, for school purp",NA,"no"
1998,"Illinois","Yes, for students",NA,"yes"
1998,"Illinois","Yes, for students",NA,"no"
1998,"Illinois","No",NA,"yes"
1998,"Illinois","No",NA,"no"
2000,"Illinois","Yes, for school purp",NA,"yes"
2000,"Illinois","Yes, for school purp",NA,"no"
2000,"Illinois","Yes, for students",NA,"yes"
2000,"Illinois","Yes, for students",NA,"no"
2000,"Illinois","No",NA,"yes"
2000,"Illinois","No",NA,"no"
2002,"Illinois","Yes, for school purp",NA,"yes"
2002,"Illinois","Yes, for students",NA,"yes"
2002,"Illinois","No",NA,"yes"
2003,"Illinois","Yes, for school purp",NA,"yes"
2003,"Illinois","Yes, for students",NA,"yes"
2003,"Illinois","No",NA,"yes"
2005,"Illinois","Yes, for school purp",200.728598173185,"yes"
2005,"Illinois","Yes, for students",222.684792873819,"yes"
2005,"Illinois","No",230.841474353833,"yes"
2007,"Illinois","Yes, for school purp",205.7369715149,"yes"
2007,"Illinois","Yes, for students",222.730472868547,"yes"
2007,"Illinois","No",230.498283654039,"yes"
2009,"Illinois","Yes, for school purp",209.359189683775,"yes"
2009,"Illinois","Yes, for students",217.78965342763,"yes"
2009,"Illinois","No",235.263241211968,"yes"
2011,"Illinois","Yes, for school purp",209.099852861661,"yes"
2011,"Illinois","Yes, for students",221.508904081502,"yes"
2011,"Illinois","No",234.381742840314,"yes"
2013,"Illinois","Yes, for school purp",205.528304233716,"yes"
2013,"Illinois","Yes, for students",219.555955646972,"yes"
2013,"Illinois","No",236.646225803236,"yes"
2015,"Illinois","Yes, for school purp",215.485155485743,"yes"
2015,"Illinois","Yes, for students",226.434880715963,"yes"
2015,"Illinois","No",237.363017795633,"yes"
2017,"Illinois","Yes, for school purp",211.006436884368,"yes"
2017,"Illinois","Yes, for students",218.387421198471,"yes"
2017,"Illinois","No",238.857918012087,"yes"
2019,"Illinois","Yes, for school purp",211.096586107493,"yes"
2019,"Illinois","Yes, for students",220.417352970908,"yes"
2019,"Illinois","No",233.894468118503,"yes"
1992,"Indiana","Yes, for school purp",NA,"no"
1992,"Indiana","Yes, for students",NA,"no"
1992,"Indiana","No",NA,"no"
1994,"Indiana","Yes, for school purp",NA,"no"
1994,"Indiana","Yes, for students",NA,"no"
1994,"Indiana","No",NA,"no"
1998,"Indiana","Yes, for school purp",NA,"yes"
1998,"Indiana","Yes, for school purp",NA,"no"
1998,"Indiana","Yes, for students",NA,"yes"
1998,"Indiana","Yes, for students",NA,"no"
1998,"Indiana","No",NA,"yes"
1998,"Indiana","No",NA,"no"
2000,"Indiana","Yes, for school purp",NA,"yes"
2000,"Indiana","Yes, for school purp",NA,"no"
2000,"Indiana","Yes, for students",NA,"yes"
2000,"Indiana","Yes, for students",NA,"no"
2000,"Indiana","No",NA,"yes"
2000,"Indiana","No",NA,"no"
2002,"Indiana","Yes, for school purp",NA,"yes"
2002,"Indiana","Yes, for students",NA,"yes"
2002,"Indiana","No",NA,"yes"
2003,"Indiana","Yes, for school purp",NA,"yes"
2003,"Indiana","Yes, for students",NA,"yes"
2003,"Indiana","No",NA,"yes"
2005,"Indiana","Yes, for school purp",209.2237429186,"yes"
2005,"Indiana","Yes, for students",217.258202678882,"yes"
2005,"Indiana","No",224.990807310077,"yes"
2007,"Indiana","Yes, for school purp",211.060988720217,"yes"
2007,"Indiana","Yes, for students",219.311148271055,"yes"
2007,"Indiana","No",228.23716484223,"yes"
2009,"Indiana","Yes, for school purp",211.387146172011,"yes"
2009,"Indiana","Yes, for students",221.862612786169,"yes"
2009,"Indiana","No",231.445441621676,"yes"
2011,"Indiana","Yes, for school purp",210.184236199848,"yes"
2011,"Indiana","Yes, for students",221.913783601031,"yes"
2011,"Indiana","No",227.3118784437,"yes"
2013,"Indiana","Yes, for school purp",216.223636647196,"yes"
2013,"Indiana","Yes, for students",229.840663947788,"yes"
2013,"Indiana","No",234.552680699787,"yes"
2015,"Indiana","Yes, for school purp",221.786014255889,"yes"
2015,"Indiana","Yes, for students",229.239687117895,"yes"
2015,"Indiana","No",234.940072899073,"yes"
2017,"Indiana","Yes, for school purp",217.255082738653,"yes"
2017,"Indiana","Yes, for students",231.931209303848,"yes"
2017,"Indiana","No",238.166356378276,"yes"
2019,"Indiana","Yes, for school purp",216.036722352599,"yes"
2019,"Indiana","Yes, for students",224.128694176713,"yes"
2019,"Indiana","No",233.228606026118,"yes"
1992,"Iowa","Yes, for school purp",NA,"no"
1992,"Iowa","Yes, for students",NA,"no"
1992,"Iowa","No",NA,"no"
1994,"Iowa","Yes, for school purp",NA,"no"
1994,"Iowa","Yes, for students",NA,"no"
1994,"Iowa","No",NA,"no"
1998,"Iowa","Yes, for school purp",NA,"yes"
1998,"Iowa","Yes, for school purp",NA,"no"
1998,"Iowa","Yes, for students",NA,"yes"
1998,"Iowa","Yes, for students",NA,"no"
1998,"Iowa","No",NA,"yes"
1998,"Iowa","No",NA,"no"
2000,"Iowa","Yes, for school purp",NA,"yes"
2000,"Iowa","Yes, for school purp",NA,"no"
2000,"Iowa","Yes, for students",NA,"yes"
2000,"Iowa","Yes, for students",NA,"no"
2000,"Iowa","No",NA,"yes"
2000,"Iowa","No",NA,"no"
2002,"Iowa","Yes, for school purp",NA,"yes"
2002,"Iowa","Yes, for students",NA,"yes"
2002,"Iowa","No",NA,"yes"
2003,"Iowa","Yes, for school purp",NA,"yes"
2003,"Iowa","Yes, for students",NA,"yes"
2003,"Iowa","No",NA,"yes"
2005,"Iowa","Yes, for school purp",208.296563606682,"yes"
2005,"Iowa","Yes, for students",222.529387566419,"yes"
2005,"Iowa","No",227.098049836233,"yes"
2007,"Iowa","Yes, for school purp",216.53338873118,"yes"
2007,"Iowa","Yes, for students",224.9843394661,"yes"
2007,"Iowa","No",231.94599199449,"yes"
2009,"Iowa","Yes, for school purp",210.91214672483,"yes"
2009,"Iowa","Yes, for students",221.67719011664,"yes"
2009,"Iowa","No",229.000856709874,"yes"
2011,"Iowa","Yes, for school purp",211.558129193362,"yes"
2011,"Iowa","Yes, for students",222.163584069079,"yes"
2011,"Iowa","No",228.947253011032,"yes"
2013,"Iowa","Yes, for school purp",214.618613554592,"yes"
2013,"Iowa","Yes, for students",224.273450530017,"yes"
2013,"Iowa","No",233.311611905944,"yes"
2015,"Iowa","Yes, for school purp",215.143943399775,"yes"
2015,"Iowa","Yes, for students",224.136218140521,"yes"
2015,"Iowa","No",233.594085392794,"yes"
2017,"Iowa","Yes, for school purp",213.855425164133,"yes"
2017,"Iowa","Yes, for students",222.605762595252,"yes"
2017,"Iowa","No",232.370855698883,"yes"
2019,"Iowa","Yes, for school purp",209.633537674821,"yes"
2019,"Iowa","Yes, for students",222.114164277533,"yes"
2019,"Iowa","No",230.331840407208,"yes"
1992,"Kansas","Yes, for school purp",NA,"no"
1992,"Kansas","Yes, for students",NA,"no"
1992,"Kansas","No",NA,"no"
1994,"Kansas","Yes, for school purp",NA,"no"
1994,"Kansas","Yes, for students",NA,"no"
1994,"Kansas","No",NA,"no"
1998,"Kansas","Yes, for school purp",NA,"yes"
1998,"Kansas","Yes, for school purp",NA,"no"
1998,"Kansas","Yes, for students",NA,"yes"
1998,"Kansas","Yes, for students",NA,"no"
1998,"Kansas","No",NA,"yes"
1998,"Kansas","No",NA,"no"
2000,"Kansas","Yes, for school purp",NA,"yes"
2000,"Kansas","Yes, for school purp",NA,"no"
2000,"Kansas","Yes, for students",NA,"yes"
2000,"Kansas","Yes, for students",NA,"no"
2000,"Kansas","No",NA,"yes"
2000,"Kansas","No",NA,"no"
2002,"Kansas","Yes, for school purp",NA,"yes"
2002,"Kansas","Yes, for students",NA,"yes"
2002,"Kansas","No",NA,"yes"
2003,"Kansas","Yes, for school purp",NA,"yes"
2003,"Kansas","Yes, for students",NA,"yes"
2003,"Kansas","No",NA,"yes"
2005,"Kansas","Yes, for school purp",212.516613306434,"yes"
2005,"Kansas","Yes, for students",222.855129188517,"yes"
2005,"Kansas","No",228.466526779287,"yes"
2007,"Kansas","Yes, for school purp",212.409129852989,"yes"
2007,"Kansas","Yes, for students",225.105771641194,"yes"
2007,"Kansas","No",233.621247491291,"yes"
2009,"Kansas","Yes, for school purp",217.504129984805,"yes"
2009,"Kansas","Yes, for students",225.337141766852,"yes"
2009,"Kansas","No",232.304763206524,"yes"
2011,"Kansas","Yes, for school purp",216.466899024153,"yes"
2011,"Kansas","Yes, for students",225.572283124081,"yes"
2011,"Kansas","No",234.186239870867,"yes"
2013,"Kansas","Yes, for school purp",213.545080213571,"yes"
2013,"Kansas","Yes, for students",224.527404703284,"yes"
2013,"Kansas","No",236.536374759076,"yes"
2015,"Kansas","Yes, for school purp",209.908787680736,"yes"
2015,"Kansas","Yes, for students",222.309467648346,"yes"
2015,"Kansas","No",236.15526925425,"yes"
2017,"Kansas","Yes, for school purp",218.20912419665,"yes"
2017,"Kansas","Yes, for students",231.39272331904,"yes"
2017,"Kansas","No",232.174201618901,"yes"
2019,"Kansas","Yes, for school purp",212.818427820538,"yes"
2019,"Kansas","Yes, for students",219.778908041861,"yes"
2019,"Kansas","No",230.168973110408,"yes"
1992,"Kentucky","Yes, for school purp",NA,"no"
1992,"Kentucky","Yes, for students",NA,"no"
1992,"Kentucky","No",NA,"no"
1994,"Kentucky","Yes, for school purp",NA,"no"
1994,"Kentucky","Yes, for students",NA,"no"
1994,"Kentucky","No",NA,"no"
1998,"Kentucky","Yes, for school purp",NA,"yes"
1998,"Kentucky","Yes, for school purp",NA,"no"
1998,"Kentucky","Yes, for students",NA,"yes"
1998,"Kentucky","Yes, for students",NA,"no"
1998,"Kentucky","No",NA,"yes"
1998,"Kentucky","No",NA,"no"
2000,"Kentucky","Yes, for school purp",NA,"yes"
2000,"Kentucky","Yes, for school purp",NA,"no"
2000,"Kentucky","Yes, for students",NA,"yes"
2000,"Kentucky","Yes, for students",NA,"no"
2000,"Kentucky","No",NA,"yes"
2000,"Kentucky","No",NA,"no"
2002,"Kentucky","Yes, for school purp",NA,"yes"
2002,"Kentucky","Yes, for students",NA,"yes"
2002,"Kentucky","No",NA,"yes"
2003,"Kentucky","Yes, for school purp",NA,"yes"
2003,"Kentucky","Yes, for students",NA,"yes"
2003,"Kentucky","No",NA,"yes"
2005,"Kentucky","Yes, for school purp",216.432300475085,"yes"
2005,"Kentucky","Yes, for students",222.767699661985,"yes"
2005,"Kentucky","No",232.131139753303,"yes"
2007,"Kentucky","Yes, for school purp",220.11559460346,"yes"
2007,"Kentucky","Yes, for students",218.588741601129,"yes"
2007,"Kentucky","No",235.28575471119,"yes"
2009,"Kentucky","Yes, for school purp",221.220454094578,"yes"
2009,"Kentucky","Yes, for students",227.910631417456,"yes"
2009,"Kentucky","No",238.727539035556,"yes"
2011,"Kentucky","Yes, for school purp",221.860041901923,"yes"
2011,"Kentucky","Yes, for students",225.15306238727,"yes"
2011,"Kentucky","No",238.205131034351,"yes"
2013,"Kentucky","Yes, for school purp",222.601434649171,"yes"
2013,"Kentucky","Yes, for students",225.048385482289,"yes"
2013,"Kentucky","No",240.106319148182,"yes"
2015,"Kentucky","Yes, for school purp",224.439105513117,"yes"
2015,"Kentucky","Yes, for students",239.179546481595,"yes"
2015,"Kentucky","No",242.295470108562,"yes"
2017,"Kentucky","Yes, for school purp",222.324549180585,"yes"
2017,"Kentucky","Yes, for students",226.385849112025,"yes"
2017,"Kentucky","No",235.106614411271,"yes"
2019,"Kentucky","Yes, for school purp",217.500291854912,"yes"
2019,"Kentucky","Yes, for students",222.822083349911,"yes"
2019,"Kentucky","No",238.524737848496,"yes"
1992,"Louisiana","Yes, for school purp",NA,"no"
1992,"Louisiana","Yes, for students",NA,"no"
1992,"Louisiana","No",NA,"no"
1994,"Louisiana","Yes, for school purp",NA,"no"
1994,"Louisiana","Yes, for students",NA,"no"
1994,"Louisiana","No",NA,"no"
1998,"Louisiana","Yes, for school purp",NA,"yes"
1998,"Louisiana","Yes, for school purp",NA,"no"
1998,"Louisiana","Yes, for students",NA,"yes"
1998,"Louisiana","Yes, for students",NA,"no"
1998,"Louisiana","No",NA,"yes"
1998,"Louisiana","No",NA,"no"
2000,"Louisiana","Yes, for school purp",NA,"yes"
2000,"Louisiana","Yes, for school purp",NA,"no"
2000,"Louisiana","Yes, for students",NA,"yes"
2000,"Louisiana","Yes, for students",NA,"no"
2000,"Louisiana","No",NA,"yes"
2000,"Louisiana","No",NA,"no"
2002,"Louisiana","Yes, for school purp",NA,"yes"
2002,"Louisiana","Yes, for students",NA,"yes"
2002,"Louisiana","No",NA,"yes"
2003,"Louisiana","Yes, for school purp",NA,"yes"
2003,"Louisiana","Yes, for students",NA,"yes"
2003,"Louisiana","No",NA,"yes"
2005,"Louisiana","Yes, for school purp",206.048514913286,"yes"
2005,"Louisiana","Yes, for students",205.931213007278,"yes"
2005,"Louisiana","No",227.885599784905,"yes"
2007,"Louisiana","Yes, for school purp",202.564608321952,"yes"
2007,"Louisiana","Yes, for students",208.815174185455,"yes"
2007,"Louisiana","No",227.748855244839,"yes"
2009,"Louisiana","Yes, for school purp",205.379237730687,"yes"
2009,"Louisiana","Yes, for students",201.115913945941,"yes"
2009,"Louisiana","No",221.430639494716,"yes"
2011,"Louisiana","Yes, for school purp",206.712779231551,"yes"
2011,"Louisiana","Yes, for students",201.500454776291,"yes"
2011,"Louisiana","No",227.189787949357,"yes"
2013,"Louisiana","Yes, for school purp",207.79665096036,"yes"
2013,"Louisiana","Yes, for students",204.792959403176,"yes"
2013,"Louisiana","No",230.32063088896,"yes"
2015,"Louisiana","Yes, for school purp",215.68123478046,"yes"
2015,"Louisiana","Yes, for students",209.133235286802,"yes"
2015,"Louisiana","No",230.447208606977,"yes"
2017,"Louisiana","Yes, for school purp",205.952007390268,"yes"
2017,"Louisiana","Yes, for students",208.276504860501,"yes"
2017,"Louisiana","No",231.946293536492,"yes"
2019,"Louisiana","Yes, for school purp",206.42369819115,"yes"
2019,"Louisiana","Yes, for students",213.913131987102,"yes"
2019,"Louisiana","No",227.742385763843,"yes"
1992,"Maine","Yes, for school purp",NA,"no"
1992,"Maine","Yes, for students",NA,"no"
1992,"Maine","No",NA,"no"
1994,"Maine","Yes, for school purp",NA,"no"
1994,"Maine","Yes, for students",NA,"no"
1994,"Maine","No",NA,"no"
1998,"Maine","Yes, for school purp",NA,"yes"
1998,"Maine","Yes, for school purp",NA,"no"
1998,"Maine","Yes, for students",NA,"yes"
1998,"Maine","Yes, for students",NA,"no"
1998,"Maine","No",NA,"yes"
1998,"Maine","No",NA,"no"
2000,"Maine","Yes, for school purp",NA,"yes"
2000,"Maine","Yes, for school purp",NA,"no"
2000,"Maine","Yes, for students",NA,"yes"
2000,"Maine","Yes, for students",NA,"no"
2000,"Maine","No",NA,"yes"
2000,"Maine","No",NA,"no"
2002,"Maine","Yes, for school purp",NA,"yes"
2002,"Maine","Yes, for students",NA,"yes"
2002,"Maine","No",NA,"yes"
2003,"Maine","Yes, for school purp",NA,"yes"
2003,"Maine","Yes, for students",NA,"yes"
2003,"Maine","No",NA,"yes"
2005,"Maine","Yes, for school purp",224.664717738246,"yes"
2005,"Maine","Yes, for students",223.736793290958,"yes"
2005,"Maine","No",228.664394000578,"yes"
2007,"Maine","Yes, for school purp",224.201645189394,"yes"
2007,"Maine","Yes, for students",223.853662810178,"yes"
2007,"Maine","No",235.660545409884,"yes"
2009,"Maine","Yes, for school purp",220.633946753865,"yes"
2009,"Maine","Yes, for students",222.182167907647,"yes"
2009,"Maine","No",235.311406343447,"yes"
2011,"Maine","Yes, for school purp",218.257731621182,"yes"
2011,"Maine","Yes, for students",222.390548392356,"yes"
2011,"Maine","No",229.157655954654,"yes"
2013,"Maine","Yes, for school purp",220.693552748991,"yes"
2013,"Maine","Yes, for students",224.85998298162,"yes"
2013,"Maine","No",231.609523629048,"yes"
2015,"Maine","Yes, for school purp",221.074823676676,"yes"
2015,"Maine","Yes, for students",222.679997403798,"yes"
2015,"Maine","No",232.236440116895,"yes"
2017,"Maine","Yes, for school purp",214.369937190598,"yes"
2017,"Maine","Yes, for students",221.946570672262,"yes"
2017,"Maine","No",230.421256772658,"yes"
2019,"Maine","Yes, for school purp",213.664513319079,"yes"
2019,"Maine","Yes, for students",220.84097759282,"yes"
2019,"Maine","No",239.427662072363,"yes"
1992,"Maryland","Yes, for school purp",NA,"no"
1992,"Maryland","Yes, for students",NA,"no"
1992,"Maryland","No",NA,"no"
1994,"Maryland","Yes, for school purp",NA,"no"
1994,"Maryland","Yes, for students",NA,"no"
1994,"Maryland","No",NA,"no"
1998,"Maryland","Yes, for school purp",NA,"yes"
1998,"Maryland","Yes, for school purp",NA,"no"
1998,"Maryland","Yes, for students",NA,"yes"
1998,"Maryland","Yes, for students",NA,"no"
1998,"Maryland","No",NA,"yes"
1998,"Maryland","No",NA,"no"
2000,"Maryland","Yes, for school purp",NA,"yes"
2000,"Maryland","Yes, for school purp",NA,"no"
2000,"Maryland","Yes, for students",NA,"yes"
2000,"Maryland","Yes, for students",NA,"no"
2000,"Maryland","No",NA,"yes"
2000,"Maryland","No",NA,"no"
2002,"Maryland","Yes, for school purp",NA,"yes"
2002,"Maryland","Yes, for students",NA,"yes"
2002,"Maryland","No",NA,"yes"
2003,"Maryland","Yes, for school purp",NA,"yes"
2003,"Maryland","Yes, for students",NA,"yes"
2003,"Maryland","No",NA,"yes"
2005,"Maryland","Yes, for school purp",199.18265045482,"yes"
2005,"Maryland","Yes, for students",215.320679798151,"yes"
2005,"Maryland","No",228.537808377891,"yes"
2007,"Maryland","Yes, for school purp",206.21413755024,"yes"
2007,"Maryland","Yes, for students",223.413538711714,"yes"
2007,"Maryland","No",232.618498821469,"yes"
2009,"Maryland","Yes, for school purp",210.398596317792,"yes"
2009,"Maryland","Yes, for students",222.011175402578,"yes"
2009,"Maryland","No",236.306393132742,"yes"
2011,"Maryland","Yes, for school purp",215.895246903341,"yes"
2011,"Maryland","Yes, for students",224.550262126941,"yes"
2011,"Maryland","No",237.973310972156,"yes"
2013,"Maryland","Yes, for school purp",212.937340500726,"yes"
2013,"Maryland","Yes, for students",216.564248372123,"yes"
2013,"Maryland","No",241.202732638613,"yes"
2015,"Maryland","Yes, for school purp",205.656241399834,"yes"
2015,"Maryland","Yes, for students",221.073381407526,"yes"
2015,"Maryland","No",230.727508098399,"yes"
2017,"Maryland","Yes, for school purp",212.43892611701,"yes"
2017,"Maryland","Yes, for students",207.099378959339,"yes"
2017,"Maryland","No",234.607979978004,"yes"
2019,"Maryland","Yes, for school purp",202.000867717747,"yes"
2019,"Maryland","Yes, for students",207.649343943072,"yes"
2019,"Maryland","No",231.968440191819,"yes"
1992,"Massachusetts","Yes, for school purp",NA,"no"
1992,"Massachusetts","Yes, for students",NA,"no"
1992,"Massachusetts","No",NA,"no"
1994,"Massachusetts","Yes, for school purp",NA,"no"
1994,"Massachusetts","Yes, for students",NA,"no"
1994,"Massachusetts","No",NA,"no"
1998,"Massachusetts","Yes, for school purp",NA,"yes"
1998,"Massachusetts","Yes, for school purp",NA,"no"
1998,"Massachusetts","Yes, for students",NA,"yes"
1998,"Massachusetts","Yes, for students",NA,"no"
1998,"Massachusetts","No",NA,"yes"
1998,"Massachusetts","No",NA,"no"
2000,"Massachusetts","Yes, for school purp",NA,"yes"
2000,"Massachusetts","Yes, for school purp",NA,"no"
2000,"Massachusetts","Yes, for students",NA,"yes"
2000,"Massachusetts","Yes, for students",NA,"no"
2000,"Massachusetts","No",NA,"yes"
2000,"Massachusetts","No",NA,"no"
2002,"Massachusetts","Yes, for school purp",NA,"yes"
2002,"Massachusetts","Yes, for students",NA,"yes"
2002,"Massachusetts","No",NA,"yes"
2003,"Massachusetts","Yes, for school purp",NA,"yes"
2003,"Massachusetts","Yes, for students",NA,"yes"
2003,"Massachusetts","No",NA,"yes"
2005,"Massachusetts","Yes, for school purp",215.956766056056,"yes"
2005,"Massachusetts","Yes, for students",235.2779705155,"yes"
2005,"Massachusetts","No",240.822424804753,"yes"
2007,"Massachusetts","Yes, for school purp",222.994322501746,"yes"
2007,"Massachusetts","Yes, for students",236.744061903484,"yes"
2007,"Massachusetts","No",243.99021998712,"yes"
2009,"Massachusetts","Yes, for school purp",220.070535863999,"yes"
2009,"Massachusetts","Yes, for students",238.667392847689,"yes"
2009,"Massachusetts","No",242.283152746899,"yes"
2011,"Massachusetts","Yes, for school purp",227.774501137709,"yes"
2011,"Massachusetts","Yes, for students",238.627176813607,"yes"
2011,"Massachusetts","No",247.017792875163,"yes"
2013,"Massachusetts","Yes, for school purp",219.547399038042,"yes"
2013,"Massachusetts","Yes, for students",235.66277038217,"yes"
2013,"Massachusetts","No",243.075975884639,"yes"
2015,"Massachusetts","Yes, for school purp",225.832759119307,"yes"
2015,"Massachusetts","Yes, for students",234.333101688335,"yes"
2015,"Massachusetts","No",247.264884829222,"yes"
2017,"Massachusetts","Yes, for school purp",226.325648665494,"yes"
2017,"Massachusetts","Yes, for students",238.746671308561,"yes"
2017,"Massachusetts","No",244.934861010115,"yes"
2019,"Massachusetts","Yes, for school purp",223.992731289086,"yes"
2019,"Massachusetts","Yes, for students",231.551418621161,"yes"
2019,"Massachusetts","No",242.640465391221,"yes"
1992,"Michigan","Yes, for school purp",NA,"no"
1992,"Michigan","Yes, for students",NA,"no"
1992,"Michigan","No",NA,"no"
1994,"Michigan","Yes, for school purp",NA,"no"
1994,"Michigan","Yes, for students",NA,"no"
1994,"Michigan","No",NA,"no"
1998,"Michigan","Yes, for school purp",NA,"yes"
1998,"Michigan","Yes, for school purp",NA,"no"
1998,"Michigan","Yes, for students",NA,"yes"
1998,"Michigan","Yes, for students",NA,"no"
1998,"Michigan","No",NA,"yes"
1998,"Michigan","No",NA,"no"
2000,"Michigan","Yes, for school purp",NA,"yes"
2000,"Michigan","Yes, for school purp",NA,"no"
2000,"Michigan","Yes, for students",NA,"yes"
2000,"Michigan","Yes, for students",NA,"no"
2000,"Michigan","No",NA,"yes"
2000,"Michigan","No",NA,"no"
2002,"Michigan","Yes, for school purp",NA,"yes"
2002,"Michigan","Yes, for students",NA,"yes"
2002,"Michigan","No",NA,"yes"
2003,"Michigan","Yes, for school purp",NA,"yes"
2003,"Michigan","Yes, for students",NA,"yes"
2003,"Michigan","No",NA,"yes"
2005,"Michigan","Yes, for school purp",208.166671096211,"yes"
2005,"Michigan","Yes, for students",219.72627792548,"yes"
