"year","jurisdiction","race.ethnicity","avg.scale.score","accommodations.permitted"
2009,"Alabama","Asian/Pacific Islander",NA,"yes"
2009,"Alabama","Black",200.853360547658,"yes"
2009,"Alabama","Hispanic",199.657920269235,"yes"
2009,"Alabama","Two or more races",NA,"yes"
2009,"Alabama","White",225.00113364506,"yes"
2011,"Alabama","All students",220.273413326721,"yes"
2011,"Alabama","American Indian/Alaska Native",NA,"yes"
2011,"Alabama","Asian/Pacific Islander",NA,"yes"
2011,"Alabama","Black",204.033482170159,"yes"
2011,"Alabama","Hispanic",204.768142386804,"yes"
2011,"Alabama","Two or more races",NA,"yes"
2011,"Alabama","White",229.748211693085,"yes"
2013,"Alabama","All students",218.57595339188,"yes"
2013,"Alabama","American Indian/Alaska Native",NA,"yes"
2013,"Alabama","Asian/Pacific Islander",NA,"yes"
2013,"Alabama","Black",202.416582615205,"yes"
2013,"Alabama","Hispanic",205.721420059563,"yes"
2013,"Alabama","Two or more races",NA,"yes"
2013,"Alabama","White",227.416556935277,"yes"
2015,"Alabama","All students",217.049089788052,"yes"
2015,"Alabama","American Indian/Alaska Native",NA,"yes"
2015,"Alabama","Asian/Pacific Islander",NA,"yes"
2015,"Alabama","Black",203.555118603941,"yes"
2015,"Alabama","Hispanic",198.618843701849,"yes"
2015,"Alabama","Two or more races",NA,"yes"
2015,"Alabama","White",225.557140281822,"yes"
2017,"Alabama","All students",216.419813531011,"yes"
2017,"Alabama","American Indian/Alaska Native",NA,"yes"
2017,"Alabama","Asian/Pacific Islander",NA,"yes"
2017,"Alabama","Black",201.956994882188,"yes"
2017,"Alabama","Hispanic",199.286095805498,"yes"
2017,"Alabama","Two or more races",NA,"yes"
2017,"Alabama","White",227.695864005171,"yes"
2019,"Alabama","All students",211.728520409549,"yes"
2019,"Alabama","American Indian/Alaska Native",NA,"yes"
2019,"Alabama","Asian/Pacific Islander",NA,"yes"
2019,"Alabama","Black",195.326570453174,"yes"
2019,"Alabama","Hispanic",198.38435655883,"yes"
2019,"Alabama","Two or more races",NA,"yes"
2019,"Alabama","White",223.143869573017,"yes"
1992,"Alaska","All students",NA,"no"
1992,"Alaska","American Indian/Alaska Native",NA,"no"
1992,"Alaska","Asian/Pacific Islander",NA,"no"
1992,"Alaska","Black",NA,"no"
1992,"Alaska","Hispanic",NA,"no"
1992,"Alaska","Two or more races",NA,"no"
1992,"Alaska","White",NA,"no"
1994,"Alaska","All students",NA,"no"
1994,"Alaska","American Indian/Alaska Native",NA,"no"
1994,"Alaska","Asian/Pacific Islander",NA,"no"
1994,"Alaska","Black",NA,"no"
1994,"Alaska","Hispanic",NA,"no"
1994,"Alaska","Two or more races",NA,"no"
1994,"Alaska","White",NA,"no"
1998,"Alaska","All students",NA,"yes"
1998,"Alaska","All students",NA,"no"
1998,"Alaska","American Indian/Alaska Native",NA,"yes"
1998,"Alaska","American Indian/Alaska Native",NA,"no"
1998,"Alaska","Asian/Pacific Islander",NA,"yes"
1998,"Alaska","Asian/Pacific Islander",NA,"no"
1998,"Alaska","Black",NA,"yes"
1998,"Alaska","Black",NA,"no"
1998,"Alaska","Hispanic",NA,"yes"
1998,"Alaska","Hispanic",NA,"no"
1998,"Alaska","Two or more races",NA,"yes"
1998,"Alaska","Two or more races",NA,"no"
1998,"Alaska","White",NA,"yes"
1998,"Alaska","White",NA,"no"
2000,"Alaska","All students",NA,"yes"
2000,"Alaska","All students",NA,"no"
2000,"Alaska","American Indian/Alaska Native",NA,"yes"
2000,"Alaska","American Indian/Alaska Native",NA,"no"
2000,"Alaska","Asian/Pacific Islander",NA,"yes"
2000,"Alaska","Asian/Pacific Islander",NA,"no"
2000,"Alaska","Black",NA,"yes"
2000,"Alaska","Black",NA,"no"
2000,"Alaska","Hispanic",NA,"yes"
2000,"Alaska","Hispanic",NA,"no"
2000,"Alaska","Two or more races",NA,"yes"
2000,"Alaska","Two or more races",NA,"no"
2000,"Alaska","White",NA,"yes"
2000,"Alaska","White",NA,"no"
2002,"Alaska","All students",NA,"yes"
2002,"Alaska","American Indian/Alaska Native",NA,"yes"
2002,"Alaska","Asian/Pacific Islander",NA,"yes"
2002,"Alaska","Black",NA,"yes"
2002,"Alaska","Hispanic",NA,"yes"
2002,"Alaska","Two or more races",NA,"yes"
2002,"Alaska","White",NA,"yes"
2003,"Alaska","All students",211.547153569153,"yes"
2003,"Alaska","American Indian/Alaska Native",184.380309683777,"yes"
2003,"Alaska","Asian/Pacific Islander",206.991180358166,"yes"
2003,"Alaska","Black",208.915435449253,"yes"
2003,"Alaska","Hispanic",209.249009206784,"yes"
2003,"Alaska","Two or more races",NA,"yes"
2003,"Alaska","White",226.356358717873,"yes"
2005,"Alaska","All students",211.06131857045,"yes"
2005,"Alaska","American Indian/Alaska Native",182.862207842195,"yes"
2005,"Alaska","Asian/Pacific Islander",205.785912646196,"yes"
2005,"Alaska","Black",212.03331554466,"yes"
2005,"Alaska","Hispanic",209.368877971972,"yes"
2005,"Alaska","Two or more races",217.571180724267,"yes"
2005,"Alaska","White",224.728970921131,"yes"
2007,"Alaska","All students",214.476954408027,"yes"
2007,"Alaska","American Indian/Alaska Native",187.777949677099,"yes"
2007,"Alaska","Asian/Pacific Islander",217.305500408761,"yes"
2007,"Alaska","Black",206.707674975868,"yes"
2007,"Alaska","Hispanic",205.722499877946,"yes"
2007,"Alaska","Two or more races",212.429043385491,"yes"
2007,"Alaska","White",228.262057952111,"yes"
2009,"Alaska","All students",211.127368273139,"yes"
2009,"Alaska","American Indian/Alaska Native",179.448257414718,"yes"
2009,"Alaska","Asian/Pacific Islander",207.510233097948,"yes"
2009,"Alaska","Black",204.298786058909,"yes"
2009,"Alaska","Hispanic",215.007028935557,"yes"
2009,"Alaska","Two or more races",214.131541807412,"yes"
2009,"Alaska","White",226.17996134473,"yes"
2011,"Alaska","All students",207.92369589694,"yes"
2011,"Alaska","American Indian/Alaska Native",174.924436198312,"yes"
2011,"Alaska","Asian/Pacific Islander",197.177036028026,"yes"
2011,"Alaska","Black",206.136666347644,"yes"
2011,"Alaska","Hispanic",211.585774335882,"yes"
2011,"Alaska","Two or more races",216.242569581972,"yes"
2011,"Alaska","White",223.234584051288,"yes"
2013,"Alaska","All students",209.347288173954,"yes"
2013,"Alaska","American Indian/Alaska Native",173.445917163842,"yes"
2013,"Alaska","Asian/Pacific Islander",204.331277312254,"yes"
2013,"Alaska","Black",202.733432858357,"yes"
2013,"Alaska","Hispanic",213.123334963724,"yes"
2013,"Alaska","Two or more races",214.683360362129,"yes"
2013,"Alaska","White",227.610851829031,"yes"
2015,"Alaska","All students",212.792600219066,"yes"
2015,"Alaska","American Indian/Alaska Native",183.99965624221,"yes"
2015,"Alaska","Asian/Pacific Islander",210.211308304034,"yes"
2015,"Alaska","Black",209.281259218389,"yes"
2015,"Alaska","Hispanic",215.033326417311,"yes"
2015,"Alaska","Two or more races",217.343942404132,"yes"
2015,"Alaska","White",227.594039425058,"yes"
2017,"Alaska","All students",207.037630115797,"yes"
2017,"Alaska","American Indian/Alaska Native",169.452226064484,"yes"
2017,"Alaska","Asian/Pacific Islander",206.098116630933,"yes"
2017,"Alaska","Black",211.606759420735,"yes"
2017,"Alaska","Hispanic",211.088931750878,"yes"
2017,"Alaska","Two or more races",219.406615820114,"yes"
2017,"Alaska","White",223.21842902245,"yes"
2019,"Alaska","All students",204.373572021553,"yes"
2019,"Alaska","American Indian/Alaska Native",172.976794958966,"yes"
2019,"Alaska","Asian/Pacific Islander",201.561888792045,"yes"
2019,"Alaska","Black",NA,"yes"
2019,"Alaska","Hispanic",205.982358645797,"yes"
2019,"Alaska","Two or more races",209.836142409345,"yes"
2019,"Alaska","White",220.624378755856,"yes"
1992,"Arizona","All students",209.40206480544,"no"
1992,"Arizona","American Indian/Alaska Native",179.381312114067,"no"
1992,"Arizona","Asian/Pacific Islander",NA,"no"
1992,"Arizona","Black",197.883619439862,"no"
1992,"Arizona","Hispanic",196.798015239868,"no"
1992,"Arizona","Two or more races",NA,"no"
1992,"Arizona","White",219.757712171759,"no"
1994,"Arizona","All students",206.212715526558,"no"
1994,"Arizona","American Indian/Alaska Native",173.241961057525,"no"
1994,"Arizona","Asian/Pacific Islander",186.485203426381,"no"
1994,"Arizona","Black",187.994284480239,"no"
1994,"Arizona","Hispanic",187.726452081562,"no"
1994,"Arizona","Two or more races",NA,"no"
1994,"Arizona","White",218.681272982808,"no"
1998,"Arizona","All students",206.434866034581,"yes"
1998,"Arizona","All students",206.529788427148,"no"
1998,"Arizona","American Indian/Alaska Native",173.882355058184,"yes"
1998,"Arizona","American Indian/Alaska Native",189.501400261846,"no"
1998,"Arizona","Asian/Pacific Islander",NA,"yes"
1998,"Arizona","Asian/Pacific Islander",NA,"no"
1998,"Arizona","Black",190.874619018626,"yes"
1998,"Arizona","Black",192.817243947154,"no"
1998,"Arizona","Hispanic",188.181523277082,"yes"
1998,"Arizona","Hispanic",183.49652897058,"no"
1998,"Arizona","Two or more races",NA,"yes"
1998,"Arizona","Two or more races",NA,"no"
1998,"Arizona","White",218.695546150479,"yes"
1998,"Arizona","White",220.562544038377,"no"
2000,"Arizona","All students",NA,"yes"
2000,"Arizona","All students",NA,"no"
2000,"Arizona","American Indian/Alaska Native",NA,"yes"
2000,"Arizona","American Indian/Alaska Native",NA,"no"
2000,"Arizona","Asian/Pacific Islander",NA,"yes"
2000,"Arizona","Asian/Pacific Islander",NA,"no"
2000,"Arizona","Black",NA,"yes"
2000,"Arizona","Black",NA,"no"
2000,"Arizona","Hispanic",NA,"yes"
2000,"Arizona","Hispanic",NA,"no"
2000,"Arizona","Two or more races",NA,"yes"
2000,"Arizona","Two or more races",NA,"no"
2000,"Arizona","White",NA,"yes"
2000,"Arizona","White",NA,"no"
2002,"Arizona","All students",205.347275383339,"yes"
2002,"Arizona","American Indian/Alaska Native",179.665369091925,"yes"
2002,"Arizona","Asian/Pacific Islander",222.334625897551,"yes"
2002,"Arizona","Black",198.790455256156,"yes"
2002,"Arizona","Hispanic",188.045642941146,"yes"
2002,"Arizona","Two or more races",NA,"yes"
2002,"Arizona","White",220.288709661033,"yes"
2003,"Arizona","All students",208.87280135482,"yes"
2003,"Arizona","American Indian/Alaska Native",182.340062889604,"yes"
2003,"Arizona","Asian/Pacific Islander",224.575069002585,"yes"
2003,"Arizona","Black",195.781867178365,"yes"
2003,"Arizona","Hispanic",195.149296007048,"yes"
2003,"Arizona","Two or more races",NA,"yes"
2003,"Arizona","White",223.208090129147,"yes"
2005,"Arizona","All students",207.14273663584,"yes"
2005,"Arizona","American Indian/Alaska Native",186.024147225163,"yes"
2005,"Arizona","Asian/Pacific Islander",224.091546863924,"yes"
2005,"Arizona","Black",192.559799024803,"yes"
2005,"Arizona","Hispanic",192.230730262857,"yes"
2005,"Arizona","Two or more races",NA,"yes"
2005,"Arizona","White",223.566786958914,"yes"
2007,"Arizona","All students",209.520624281702,"yes"
2007,"Arizona","American Indian/Alaska Native",187.238610716093,"yes"
2007,"Arizona","Asian/Pacific Islander",228.768008964471,"yes"
2007,"Arizona","Black",206.442693471722,"yes"
2007,"Arizona","Hispanic",196.800593179934,"yes"
2007,"Arizona","Two or more races",NA,"yes"
2007,"Arizona","White",223.888288823251,"yes"
2009,"Arizona","All students",209.989269506089,"yes"
2009,"Arizona","American Indian/Alaska Native",190.311084277225,"yes"
2009,"Arizona","Asian/Pacific Islander",228.107416788816,"yes"
2009,"Arizona","Black",205.762456759091,"yes"
2009,"Arizona","Hispanic",197.82541225198,"yes"
2009,"Arizona","Two or more races",NA,"yes"
2009,"Arizona","White",225.10024463179,"yes"
2011,"Arizona","All students",212.395049942915,"yes"
2011,"Arizona","American Indian/Alaska Native",184.502227328964,"yes"
2011,"Arizona","Asian/Pacific Islander",225.959306171952,"yes"
2011,"Arizona","Black",203.74649579097,"yes"
2011,"Arizona","Hispanic",203.103363954412,"yes"
2011,"Arizona","Two or more races",NA,"yes"
2011,"Arizona","White",225.004295754665,"yes"
2013,"Arizona","All students",213.134131480866,"yes"
2013,"Arizona","American Indian/Alaska Native",186.382279953591,"yes"
2013,"Arizona","Asian/Pacific Islander",217.966731827471,"yes"
2013,"Arizona","Black",205.709669757351,"yes"
2013,"Arizona","Hispanic",202.493625603966,"yes"
2013,"Arizona","Two or more races",NA,"yes"
2013,"Arizona","White",228.327889981673,"yes"
2015,"Arizona","All students",215.311336461445,"yes"
2015,"Arizona","American Indian/Alaska Native",191.050691078018,"yes"
2015,"Arizona","Asian/Pacific Islander",NA,"yes"
2015,"Arizona","Black",216.919255445351,"yes"
2015,"Arizona","Hispanic",204.367385962312,"yes"
2015,"Arizona","Two or more races",NA,"yes"
2015,"Arizona","White",229.156104978379,"yes"
2017,"Arizona","All students",215.465951944676,"yes"
2017,"Arizona","American Indian/Alaska Native",186.356781032483,"yes"
2017,"Arizona","Asian/Pacific Islander",240.348033007672,"yes"
2017,"Arizona","Black",205.517037177531,"yes"
2017,"Arizona","Hispanic",204.244811664461,"yes"
2017,"Arizona","Two or more races",232.177716207032,"yes"
2017,"Arizona","White",231.534562376504,"yes"
2019,"Arizona","All students",215.841230797164,"yes"
2019,"Arizona","American Indian/Alaska Native",196.087324508569,"yes"
2019,"Arizona","Asian/Pacific Islander",235.089681843169,"yes"
2019,"Arizona","Black",205.523606872652,"yes"
2019,"Arizona","Hispanic",205.035965418621,"yes"
2019,"Arizona","Two or more races",226.77293861096,"yes"
2019,"Arizona","White",228.315219357884,"yes"
1992,"Arkansas","All students",210.899768304081,"no"
1992,"Arkansas","American Indian/Alaska Native",NA,"no"
1992,"Arkansas","Asian/Pacific Islander",NA,"no"
1992,"Arkansas","Black",189.067402105551,"no"
1992,"Arkansas","Hispanic",NA,"no"
1992,"Arkansas","Two or more races",NA,"no"
1992,"Arkansas","White",218.052598560399,"no"
1994,"Arkansas","All students",208.634458392674,"no"
1994,"Arkansas","American Indian/Alaska Native",NA,"no"
1994,"Arkansas","Asian/Pacific Islander",NA,"no"
1994,"Arkansas","Black",182.498883679661,"no"
1994,"Arkansas","Hispanic",NA,"no"
1994,"Arkansas","Two or more races",NA,"no"
1994,"Arkansas","White",216.753582692553,"no"
1998,"Arkansas","All students",208.741779667795,"yes"
1998,"Arkansas","All students",208.837715847409,"no"
1998,"Arkansas","American Indian/Alaska Native",NA,"yes"
1998,"Arkansas","American Indian/Alaska Native",NA,"no"
1998,"Arkansas","Asian/Pacific Islander",NA,"yes"
1998,"Arkansas","Asian/Pacific Islander",NA,"no"
1998,"Arkansas","Black",184.383874232115,"yes"
1998,"Arkansas","Black",183.563338800394,"no"
1998,"Arkansas","Hispanic",NA,"yes"
1998,"Arkansas","Hispanic",NA,"no"
1998,"Arkansas","Two or more races",NA,"yes"
1998,"Arkansas","Two or more races",NA,"no"
1998,"Arkansas","White",216.405451157431,"yes"
1998,"Arkansas","White",216.875508252237,"no"
2000,"Arkansas","All students",NA,"yes"
2000,"Arkansas","All students",NA,"no"
2000,"Arkansas","American Indian/Alaska Native",NA,"yes"
2000,"Arkansas","American Indian/Alaska Native",NA,"no"
2000,"Arkansas","Asian/Pacific Islander",NA,"yes"
2000,"Arkansas","Asian/Pacific Islander",NA,"no"
2000,"Arkansas","Black",NA,"yes"
2000,"Arkansas","Black",NA,"no"
2000,"Arkansas","Hispanic",NA,"yes"
2000,"Arkansas","Hispanic",NA,"no"
2000,"Arkansas","Two or more races",NA,"yes"
2000,"Arkansas","Two or more races",NA,"no"
2000,"Arkansas","White",NA,"yes"
2000,"Arkansas","White",NA,"no"
2002,"Arkansas","All students",212.88179718175,"yes"
2002,"Arkansas","American Indian/Alaska Native",NA,"yes"
2002,"Arkansas","Asian/Pacific Islander",NA,"yes"
2002,"Arkansas","Black",188.328445867873,"yes"
2002,"Arkansas","Hispanic",204.287078704425,"yes"
2002,"Arkansas","Two or more races",NA,"yes"
2002,"Arkansas","White",221.791389008487,"yes"
2003,"Arkansas","All students",213.615304459937,"yes"
2003,"Arkansas","American Indian/Alaska Native",NA,"yes"
2003,"Arkansas","Asian/Pacific Islander",NA,"yes"
2003,"Arkansas","Black",189.784519668866,"yes"
2003,"Arkansas","Hispanic",203.801816344475,"yes"
2003,"Arkansas","Two or more races",NA,"yes"
2003,"Arkansas","White",222.617716607445,"yes"
2005,"Arkansas","All students",217.071528896937,"yes"
2005,"Arkansas","American Indian/Alaska Native",NA,"yes"
2005,"Arkansas","Asian/Pacific Islander",NA,"yes"
2005,"Arkansas","Black",193.57125949641,"yes"
2005,"Arkansas","Hispanic",212.313481416911,"yes"
2005,"Arkansas","Two or more races",NA,"yes"
2005,"Arkansas","White",225.233463302221,"yes"
2007,"Arkansas","All students",217.027817745061,"yes"
2007,"Arkansas","American Indian/Alaska Native",NA,"yes"
2007,"Arkansas","Asian/Pacific Islander",NA,"yes"
2007,"Arkansas","Black",194.578829529573,"yes"
2007,"Arkansas","Hispanic",201.880281139263,"yes"
2007,"Arkansas","Two or more races",NA,"yes"
2007,"Arkansas","White",225.598331486553,"yes"
2009,"Arkansas","All students",216.151581392988,"yes"
2009,"Arkansas","American Indian/Alaska Native",NA,"yes"
2009,"Arkansas","Asian/Pacific Islander",NA,"yes"
2009,"Arkansas","Black",198.740635471438,"yes"
2009,"Arkansas","Hispanic",202.027865246572,"yes"
2009,"Arkansas","Two or more races",NA,"yes"
2009,"Arkansas","White",223.983619240456,"yes"
2011,"Arkansas","All students",216.51486397475,"yes"
2011,"Arkansas","American Indian/Alaska Native",NA,"yes"
2011,"Arkansas","Asian/Pacific Islander",220.169674922066,"yes"
2011,"Arkansas","Black",197.107552532743,"yes"
2011,"Arkansas","Hispanic",204.408011171425,"yes"
2011,"Arkansas","Two or more races",NA,"yes"
2011,"Arkansas","White",224.335759674802,"yes"
2013,"Arkansas","All students",218.523885266815,"yes"
2013,"Arkansas","American Indian/Alaska Native",NA,"yes"
2013,"Arkansas","Asian/Pacific Islander",233.003085999465,"yes"
2013,"Arkansas","Black",200.300365433391,"yes"
2013,"Arkansas","Hispanic",210.944153022371,"yes"
2013,"Arkansas","Two or more races",NA,"yes"
2013,"Arkansas","White",225.50524067567,"yes"
2015,"Arkansas","All students",218.077496215637,"yes"
2015,"Arkansas","American Indian/Alaska Native",NA,"yes"
2015,"Arkansas","Asian/Pacific Islander",NA,"yes"
2015,"Arkansas","Black",201.999528946354,"yes"
2015,"Arkansas","Hispanic",210.401622787797,"yes"
2015,"Arkansas","Two or more races",NA,"yes"
2015,"Arkansas","White",224.49213260456,"yes"
2017,"Arkansas","All students",216.108025728181,"yes"
2017,"Arkansas","American Indian/Alaska Native",NA,"yes"
2017,"Arkansas","Asian/Pacific Islander",207.718949003381,"yes"
2017,"Arkansas","Black",198.254830285713,"yes"
2017,"Arkansas","Hispanic",210.392930516689,"yes"
2017,"Arkansas","Two or more races",NA,"yes"
2017,"Arkansas","White",223.542742433286,"yes"
2019,"Arkansas","All students",215.054222154958,"yes"
2019,"Arkansas","American Indian/Alaska Native",NA,"yes"
2019,"Arkansas","Asian/Pacific Islander",218.589622352336,"yes"
2019,"Arkansas","Black",196.543352849256,"yes"
2019,"Arkansas","Hispanic",210.794446348037,"yes"
2019,"Arkansas","Two or more races",NA,"yes"
2019,"Arkansas","White",222.428306482269,"yes"
1992,"California","All students",202.247526392698,"no"
1992,"California","American Indian/Alaska Native",NA,"no"
1992,"California","Asian/Pacific Islander",207.365114691786,"no"
1992,"California","Black",180.55040208833,"no"
1992,"California","Hispanic",180.173005641914,"no"
1992,"California","Two or more races",NA,"no"
1992,"California","White",216.7375686344,"no"
1994,"California","All students",196.764414122393,"no"
1994,"California","American Indian/Alaska Native",NA,"no"
1994,"California","Asian/Pacific Islander",206.653161056039,"no"
1994,"California","Black",181.562548454642,"no"
1994,"California","Hispanic",171.447153260225,"no"
1994,"California","Two or more races",NA,"no"
1994,"California","White",211.699429533926,"no"
1998,"California","All students",202.424798769762,"yes"
1998,"California","All students",201.912590666571,"no"
1998,"California","American Indian/Alaska Native",NA,"yes"
1998,"California","American Indian/Alaska Native",NA,"no"
1998,"California","Asian/Pacific Islander",210.904668143201,"yes"
1998,"California","Asian/Pacific Islander",209.576457772093,"no"
1998,"California","Black",185.845290738571,"yes"
1998,"California","Black",188.450984080861,"no"
1998,"California","Hispanic",181.30605306219,"yes"
1998,"California","Hispanic",178.095824190102,"no"
1998,"California","Two or more races",NA,"yes"
1998,"California","Two or more races",NA,"no"
1998,"California","White",216.797952812271,"yes"
1998,"California","White",217.263448631442,"no"
2000,"California","All students",NA,"yes"
2000,"California","All students",NA,"no"
2000,"California","American Indian/Alaska Native",NA,"yes"
2000,"California","American Indian/Alaska Native",NA,"no"
2000,"California","Asian/Pacific Islander",NA,"yes"
2000,"California","Asian/Pacific Islander",NA,"no"
2000,"California","Black",NA,"yes"
2000,"California","Black",NA,"no"
2000,"California","Hispanic",NA,"yes"
2000,"California","Hispanic",NA,"no"
2000,"California","Two or more races",NA,"yes"
2000,"California","Two or more races",NA,"no"
2000,"California","White",NA,"yes"
2000,"California","White",NA,"no"
2002,"California","All students",205.916587739819,"yes"
2002,"California","American Indian/Alaska Native",NA,"yes"
2002,"California","Asian/Pacific Islander",220.238770160659,"yes"
2002,"California","Black",195.763987587621,"yes"
2002,"California","Hispanic",191.897617275482,"yes"
2002,"California","Two or more races",NA,"yes"
2002,"California","White",222.501538507842,"yes"
2003,"California","All students",205.632437100793,"yes"
2003,"California","American Indian/Alaska Native",NA,"yes"
2003,"California","Asian/Pacific Islander",223.641943109324,"yes"
2003,"California","Black",192.791006035822,"yes"
2003,"California","Hispanic",190.7419848902,"yes"
2003,"California","Two or more races",NA,"yes"
2003,"California","White",223.801513500345,"yes"
2005,"California","All students",206.512026480797,"yes"
2005,"California","American Indian/Alaska Native",212.884664191179,"yes"
2005,"California","Asian/Pacific Islander",222.479550974598,"yes"
2005,"California","Black",195.092201726047,"yes"
2005,"California","Hispanic",192.804870983584,"yes"
2005,"California","Two or more races",219.426477855106,"yes"
2005,"California","White",225.363151948773,"yes"
2007,"California","All students",208.52218596155,"yes"
2007,"California","American Indian/Alaska Native",NA,"yes"
2007,"California","Asian/Pacific Islander",228.460311528913,"yes"
2007,"California","Black",200.411943922022,"yes"
2007,"California","Hispanic",195.067703880973,"yes"
2007,"California","Two or more races",214.71465783733,"yes"
2007,"California","White",227.392327054315,"yes"
2009,"California","All students",209.762405377999,"yes"
2009,"California","American Indian/Alaska Native",NA,"yes"
2009,"California","Asian/Pacific Islander",233.874745488447,"yes"
2009,"California","Black",199.628083780842,"yes"
2009,"California","Hispanic",195.562127349037,"yes"
2009,"California","Two or more races",NA,"yes"
2009,"California","White",226.876087070838,"yes"
2011,"California","All students",211.35863599994,"yes"
2011,"California","American Indian/Alaska Native",NA,"yes"
2011,"California","Asian/Pacific Islander",232.887668431407,"yes"
2011,"California","Black",208.176333000593,"yes"
2011,"California","Hispanic",198.043160633063,"yes"
2011,"California","Two or more races",230.183739051049,"yes"
2011,"California","White",228.960220206874,"yes"
2013,"California","All students",212.545967893063,"yes"
2013,"California","American Indian/Alaska Native",NA,"yes"
2013,"California","Asian/Pacific Islander",227.287124665918,"yes"
2013,"California","Black",201.65341086562,"yes"
2013,"California","Hispanic",200.799891711065,"yes"
2013,"California","Two or more races",226.013877293124,"yes"
2013,"California","White",231.921703044849,"yes"
2015,"California","All students",212.677948539849,"yes"
2015,"California","American Indian/Alaska Native",NA,"yes"
2015,"California","Asian/Pacific Islander",235.81039754356,"yes"
2015,"California","Black",198.214479939135,"yes"
2015,"California","Hispanic",200.697882038989,"yes"
2015,"California","Two or more races",228.256958394152,"yes"
2015,"California","White",231.239340040796,"yes"
2017,"California","All students",215.421814242133,"yes"
2017,"California","American Indian/Alaska Native",NA,"yes"
2017,"California","Asian/Pacific Islander",242.152782666098,"yes"
2017,"California","Black",198.692720528868,"yes"
2017,"California","Hispanic",204.240299616703,"yes"
2017,"California","Two or more races",231.3192869715,"yes"
2017,"California","White",231.359000575944,"yes"
2019,"California","All students",216.48126594299,"yes"
2019,"California","American Indian/Alaska Native",NA,"yes"
2019,"California","Asian/Pacific Islander",237.492889358501,"yes"
2019,"California","Black",196.626350351877,"yes"
